IP,Log_Line
127.0.0.1,2025-06-20T03:00:59.207437-04:00 kali sshd-session[7702]: Failed password for root from 127.0.0.1 port 49432 ssh2
127.0.0.1,2025-06-20T03:00:59.386623-04:00 kali sshd-session[7903]: Failed password for kali from 127.0.0.1 port 54528 ssh2
127.0.0.1,2025-06-20T03:00:59.394620-04:00 kali sshd-session[7718]: Failed password for root from 127.0.0.1 port 49488 ssh2
127.0.0.1,2025-06-20T03:00:59.475269-04:00 kali sshd-session[7690]: Failed password for root from 127.0.0.1 port 49352 ssh2
127.0.0.1,2025-06-20T03:00:59.495300-04:00 kali sshd-session[7696]: Failed password for root from 127.0.0.1 port 49396 ssh2
127.0.0.1,2025-06-20T03:00:59.596527-04:00 kali sshd-session[7705]: Failed password for root from 127.0.0.1 port 49444 ssh2
127.0.0.1,2025-06-20T03:00:59.646363-04:00 kali sshd-session[7870]: Failed password for kali from 127.0.0.1 port 54432 ssh2
127.0.0.1,2025-06-20T03:00:59.706992-04:00 kali sshd-session[7715]: Failed password for root from 127.0.0.1 port 49478 ssh2
127.0.0.1,2025-06-20T03:00:59.765053-04:00 kali sshd-session[7710]: Failed password for root from 127.0.0.1 port 49468 ssh2
127.0.0.1,2025-06-20T03:00:59.785864-04:00 kali sshd-session[7895]: Failed password for kali from 127.0.0.1 port 54486 ssh2
127.0.0.1,2025-06-20T03:01:00.187606-04:00 kali sshd-session[7897]: Failed password for kali from 127.0.0.1 port 54500 ssh2
127.0.0.1,2025-06-20T03:01:00.745751-04:00 kali sshd-session[7868]: Failed password for kali from 127.0.0.1 port 54428 ssh2
127.0.0.1,2025-06-20T03:01:00.807122-04:00 kali sshd-session[7723]: Failed password for root from 127.0.0.1 port 49508 ssh2
127.0.0.1,2025-06-20T03:01:01.301652-04:00 kali sshd-session[7873]: Failed password for kali from 127.0.0.1 port 54458 ssh2
127.0.0.1,2025-06-20T03:01:01.481764-04:00 kali sshd-session[7706]: Failed password for root from 127.0.0.1 port 49456 ssh2
127.0.0.1,2025-06-20T03:01:01.570217-04:00 kali sshd-session[7883]: Failed password for kali from 127.0.0.1 port 54468 ssh2
127.0.0.1,2025-06-20T03:01:01.661099-04:00 kali sshd-session[7900]: Failed password for kali from 127.0.0.1 port 54520 ssh2
127.0.0.1,2025-06-20T03:01:01.975028-04:00 kali sshd-session[7905]: Failed password for kali from 127.0.0.1 port 54534 ssh2
127.0.0.1,2025-06-20T03:01:02.060671-04:00 kali sshd-session[8012]: Failed password for root from 127.0.0.1 port 49842 ssh2
127.0.0.1,2025-06-20T03:01:02.110476-04:00 kali sshd-session[7903]: Failed password for kali from 127.0.0.1 port 54528 ssh2
127.0.0.1,2025-06-20T03:01:02.133629-04:00 kali sshd-session[7884]: Failed password for kali from 127.0.0.1 port 54482 ssh2
127.0.0.1,2025-06-20T03:01:02.179709-04:00 kali sshd-session[8004]: Failed password for root from 127.0.0.1 port 49828 ssh2
127.0.0.1,2025-06-20T03:01:02.337450-04:00 kali sshd-session[7998]: Failed password for root from 127.0.0.1 port 49824 ssh2
127.0.0.1,2025-06-20T03:01:02.656401-04:00 kali sshd-session[8015]: Failed password for root from 127.0.0.1 port 49858 ssh2
127.0.0.1,2025-06-20T03:01:02.744934-04:00 kali sshd-session[7692]: Failed password for root from 127.0.0.1 port 49380 ssh2
127.0.0.1,2025-06-20T03:01:02.885813-04:00 kali sshd-session[7895]: Failed password for kali from 127.0.0.1 port 54486 ssh2
127.0.0.1,2025-06-20T03:01:03.292330-04:00 kali sshd-session[7870]: Failed password for kali from 127.0.0.1 port 54432 ssh2
127.0.0.1,2025-06-20T03:01:03.337786-04:00 kali sshd-session[7702]: Failed password for root from 127.0.0.1 port 49432 ssh2
127.0.0.1,2025-06-20T03:01:03.354797-04:00 kali sshd-session[7897]: Failed password for kali from 127.0.0.1 port 54500 ssh2
127.0.0.1,2025-06-20T03:01:03.553972-04:00 kali sshd-session[7705]: Failed password for root from 127.0.0.1 port 49444 ssh2
127.0.0.1,2025-06-20T03:01:03.773790-04:00 kali sshd-session[7723]: Failed password for root from 127.0.0.1 port 49508 ssh2
